1,1,1
2,4,14
3,7,23
4,0,3
5,3,17
6,1,2
7,10,38
8,1,3
9,0,1
10,1,2
11,0,1
12,20,79
13,3,7
14,0,1
15,8,26
16,16,54
17,7,20
18,0,1
19,59,199
20,4,12
21,0,2
22,0,1
23,1,2
24,10,44
25,26,88
26,2,11
27,55,201
28,0,1
29,5,22
30,0,1
31,1,3
32,0,1
33,33,113
34,0,1
35,0,1
36,9,27
37,0,1
38,56,201
39,4,10
40,34,128
41,25,103
42,0,1
43,1,5
44,2,9
45,0,1
46,0,1
47,9,20
48,55,201
49,32,104
50,5,15
51,0,1
52,0,1
53,1,1
54,9,31
55,1,2
56,3,5
57,1,1
58,9,27
59,56,201
60,1,4
61,50,190
62,55,177
63,58,201
64,0,1
65,57,201
66,50,176
67,29,94
68,0,3
69,1,2
70,0,1
71,1,16
72,0,2
73,1,1
74,12,43
75,1,2
76,0,1
77,33,108
78,4,12
79,1,1
80,2,8
81,3,8
82,0,1
83,1,2
84,1,2
85,1,2
86,0,1
87,1,2
88,0,1
89,0,1
90,1,1
91,0,1
92,0,2
93,1,1
94,0,1
95,3,22
96,27,101
97,1,2
98,0,1
99,0,1
100,3,5
101,6,15
102,2,10
103,0,3
104,0,1
105,0,1
106,2,8
107,0,1
108,0,1
109,32,117
110,47,150
111,0,1
112,1,2
113,0,1
114,61,201
115,32,104
116,1,2
117,0,1
118,52,201
119,0,1
120,1,6
121,37,124
122,1,2
123,10,29
124,1,1
125,6,26
126,19,60
127,55,201
128,58,201
129,29,121
130,0,3
131,0,1
132,0,2
133,16,49
134,0,4
135,1,5
136,0,1
137,4,13
138,0,4
139,3,12
140,0,3
141,2,4
142,59,201
143,0,6
144,0,9
145,1,1
146,2,4
147,0,1
148,0,1
149,26,101
150,2,3
151,0,1
152,4,13
153,1,1
154,0,1
155,23,86
156,1,1
157,3,12
158,0,1
159,21,69
160,1,4
161,0,1
162,6,19
163,2,5
164,8,31
165,16,61
166,0,1
167,0,1
168,3,11
169,7,23
170,0,3
171,0,2
172,0,1
173,6,23
174,17,57
175,0,1
176,3,9
177,1,3
178,8,28
179,1,2
180,3,12
181,5,18
182,1,2
183,0,6
184,1,2
185,0,1
186,6,16
187,0,3
188,0,1
189,1,1
190,0,1
191,4,18
192,2,7
193,3,9
194,6,24
195,3,8
196,2,6
197,7,18
198,0,1
199,1,5
200,6,22
201,0,1
202,9,36
203,4,14
204,1,2
205,1,2
206,1,2
207,2,7
208,0,1
209,37,149
210,0,1
211,0,4
212,57,201
213,3,8
214,0,1
215,1,1
216,0,1
217,32,97
218,1,1
219,0,1
220,1,1
221,1,1
222,4,14
223,1,1
224,10,34
225,60,201
226,0,2
227,8,28
228,0,5
229,1,4
230,0,1
231,1,2
232,0,1
233,7,24
234,1,5
235,0,1
236,1,2
237,0,2
238,1,3
239,1,1
240,22,109
241,0,1
242,15,43
243,0,1
244,0,1
245,0,3
246,2,7
247,1,2
248,1,1
249,14,52
250,4,13
251,1,1
252,31,109
253,3,11
254,0,1
255,0,1
256,0,1
257,5,23
258,1,2
259,57,201
260,8,37
261,0,2
262,5,14
263,2,8
264,3,10
265,1,2
266,1,9
267,38,139
268,61,201
269,46,201
270,2,2
271,1,1
272,1,1
273,9,29
274,7,23
275,16,54
276,14,62
277,12,47
278,1,2
279,0,1
280,1,1
281,2,20
282,13,35
283,1,2
284,0,1
285,1,2
286,1,8
287,1,1
288,0,1
289,3,11
290,0,1
291,7,22
292,7,25
293,1,1
294,0,2
295,4,15
296,1,2
297,0,2
298,0,12
299,0,1
300,1,9
301,26,106
302,8,27
303,2,13
304,1,5
305,0,1
306,1,2
307,2,6
308,2,5
309,0,1
310,4,8
311,3,17
312,3,7
313,0,3
314,36,137
315,8,30
316,13,61
317,0,3
318,18,64
319,0,1
320,0,5
321,2,9
322,0,1
323,0,1
324,49,191
325,44,155
326,36,126
327,0,1
328,1,1
329,1,2
330,0,1
331,1,1
332,0,1
333,0,1
334,1,1
335,1,1
336,1,2
337,0,1
338,1,3
339,2,6
340,17,69
341,0,3
342,1,1
343,1,10
344,0,1
345,20,89
346,0,1
347,5,21
348,0,1
349,2,9
350,2,3
351,0,1
352,42,157
353,37,137
354,0,1
355,13,46
356,4,24
357,5,17
358,0,1
359,0,1
360,2,6
361,0,2
362,35,145
363,4,12
364,0,1
365,0,1
366,0,1
367,0,1
368,0,1
369,27,111
370,0,1
371,1,2
372,23,81
373,29,128
374,22,88
375,0,5
376,2,6
377,0,2
378,2,11
379,0,2
380,0,1
