1,12,23
2,2,3
3,0,1
4,0,1
5,0,1
6,1,2
7,0,2
8,0,1
9,2,3
10,0,1
11,0,1
12,0,1
13,28,47
14,1,1
15,1,1
16,1,2
17,0,1
18,0,1
19,6,12
20,2,2
21,0,1
22,1,1
23,0,1
24,0,1
25,1,1
26,0,1
27,0,1
28,31,58
29,0,2
30,16,39
31,0,1
32,0,1
33,1,2
34,0,1
35,15,28
36,0,1
37,0,1
38,0,1
39,11,17
40,1,1
41,1,1
42,1,2
43,1,2
44,1,2
45,0,1
46,1,2
47,1,3
48,4,6
49,21,35
50,10,18
51,0,2
52,0,1
53,1,1
54,0,1
55,15,27
56,0,1
57,0,1
58,51,85
59,0,1
60,6,9
61,1,1
62,13,24
63,1,5
64,9,12
65,0,1
66,37,67
67,1,3
68,0,1
69,0,1
70,1,1
71,2,3
72,0,1
73,1,3
74,0,2
75,0,1
76,1,1
77,23,40
78,4,5
79,0,2
80,5,7
81,0,1
82,0,1
83,0,1
84,0,1
85,5,8
86,0,1
87,1,3
88,0,1
89,0,1
90,0,1
91,25,47
92,10,20
93,14,26
94,1,2
95,0,2
96,1,1
97,1,5
98,13,23
99,10,14
100,12,23
101,0,1
102,1,3
103,14,30
104,1,3
105,2,3
106,2,3
107,0,2
108,5,10
109,0,1
110,1,2
111,2,4
112,0,1
113,4,10
114,22,37
115,1,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,12,18
122,2,2
123,16,39
124,3,7
125,1,2
126,23,36
127,11,22
128,0,3
129,1,3
130,23,42
131,2,3
132,0,1
133,0,1
134,17,19
135,10,21
136,0,1
137,6,8
138,0,1
139,29,48
140,9,16
141,13,23
142,15,25
143,0,2
144,1,2
145,0,1
146,18,32
147,2,2
148,3,8
149,0,1
150,1,2
151,28,43
152,10,16
153,1,2
154,0,2
155,5,9
156,9,16
157,0,1
158,1,1
159,14,27
160,4,7
161,0,1
162,1,1
163,4,5
164,5,10
165,10,19
166,15,30
167,0,1
168,10,14
169,19,36
170,32,59
171,28,60
172,19,39
173,9,12
174,8,16
175,0,1
176,0,1
177,6,8
178,28,48
179,6,14
180,5,9
181,33,59
182,3,6
183,1,2
184,0,2
185,7,13
186,4,5
187,0,1
188,3,6
189,1,2
190,1,1
191,1,1
192,1,1
193,18,29
194,13,28
195,0,1
196,0,1
197,1,1
198,1,2
199,14,24
200,0,1
201,5,10
202,5,15
203,3,5
204,1,7
205,0,1
206,10,15
207,0,1
208,24,45
209,48,85
210,13,26
211,0,1
212,2,7
213,0,1
214,24,38
215,0,1
216,0,2
217,0,2
218,5,9
219,0,1
220,1,2
221,21,35
222,0,1
223,22,40
224,18,33
225,2,2
226,1,1
227,0,1
228,1,2
229,0,1
230,0,1
231,0,1
232,1,2
233,0,1
234,0,1
235,0,1
236,1,2
237,1,2
238,2,6
239,7,16
240,11,26
241,0,1
242,0,1
243,1,1
244,4,10
245,1,1
246,39,60
247,4,9
248,1,1
249,18,34
250,0,1
251,12,21
252,0,1
253,0,1
254,0,2
255,0,1
256,9,20
257,3,6
258,0,2
259,0,1
260,14,34
261,29,54
262,13,28
263,3,7
264,2,3
265,9,22
266,0,1
267,4,6
268,1,1
269,0,1
270,1,1
271,11,15
272,0,2
273,0,2
274,0,1
275,0,3
276,0,4
277,0,2
278,0,1
279,13,18
280,8,15
281,13,25
282,2,4
283,1,1
284,0,1
285,2,3
286,0,2
287,12,22
288,7,16
289,19,32
290,0,5
291,1,1
292,0,3
293,2,4
294,0,1
295,0,1
296,5,8
297,3,8
298,0,1
299,0,1
300,11,20
301,7,16
302,0,1
303,5,8
304,10,20
305,20,31
306,1,1
307,1,3
308,1,1
309,0,1
310,1,3
311,1,1
312,3,6
313,0,1
314,0,1
315,0,1
316,1,4
317,1,1
318,2,6
319,0,1
320,0,1
321,12,18
322,0,1
323,14,24
324,0,1
325,0,1
326,8,18
327,49,92
328,0,1
329,2,2
330,0,6
331,0,1
332,1,1
333,1,3
334,1,1
335,1,3
336,8,12
337,9,18
338,1,1
339,0,3
340,0,1
341,1,1
342,17,29
343,0,1
344,1,1
345,0,1
346,1,1
347,0,5
348,23,45
349,5,13
350,1,1
351,0,1
352,0,2
353,0,1
354,1,1
355,24,39
356,12,26
357,2,3
358,1,1
359,0,1
360,1,2
361,1,2
362,0,1
363,0,1
364,0,1
365,8,13
366,20,33
367,0,1
368,39,77
369,1,2
370,13,27
371,0,1
372,0,1
373,0,1
374,1,1
375,0,1
376,3,4
377,1,1
378,8,13
379,4,8
380,0,1
381,0,1
382,1,1
383,15,24
384,12,20
385,2,5
386,1,1
387,0,1
388,0,2
389,39,67
390,0,2
391,20,35
392,0,1
393,0,1
394,20,37
395,0,4
396,0,1
397,0,1
398,1,1
399,3,11
400,0,1
401,1,2
402,0,1
403,14,20
404,3,9
405,17,38
406,1,3
407,1,2
408,1,2
409,0,1
410,0,1
411,3,4
412,8,15
413,5,12
414,0,1
415,1,1
416,1,1
417,0,1
418,0,1
419,33,56
420,2,10
421,3,6
422,8,13
423,6,6
424,0,1
425,2,4
426,28,42
427,2,4
428,6,9
429,9,17
430,7,8
431,2,4
432,0,1
433,0,1
434,6,12
435,12,33
436,0,1
437,6,9
438,0,1
439,2,4
440,3,5
441,0,2
442,22,39
443,7,19
444,1,3
445,0,2
446,0,1
447,25,49
448,2,5
449,0,1
450,24,42
451,0,1
452,22,37
453,1,5
454,0,1
455,1,1
456,0,3
457,5,11
458,5,8
459,5,11
460,2,3
461,2,5
462,0,1
463,18,34
464,0,1
465,5,11
466,6,8
467,13,31
468,0,1
469,19,31
470,1,1
471,1,2
472,7,17
473,8,16
474,5,12
475,2,3
476,4,5
477,5,6
478,30,63
479,9,20
480,0,1
481,9,20
482,8,19
483,0,2
484,18,28
485,0,1
486,46,75
487,6,13
488,0,2
489,21,47
490,0,1
491,26,48
492,21,41
493,4,8
494,0,1
495,0,1
496,26,52
497,1,1
498,0,1
499,2,2
500,3,6
501,14,25
502,3,8
503,1,2
504,0,1
505,17,28
506,5,6
507,0,1
508,1,1
509,0,2
510,6,10
511,11,19
512,0,1
513,19,41
514,2,3
515,0,1
516,17,30
517,9,13
518,0,1
519,24,41
520,6,11
521,11,11
522,28,58
523,12,32
524,0,1
525,6,9
526,3,4
527,9,15
528,21,39
529,2,5
530,0,2
531,0,1
532,2,4
533,1,1
534,6,10
535,0,1
536,8,21
537,1,3
538,1,2
539,9,16
540,0,1
541,2,3
